VDDBG	AMBG	AM600BG	AM900BG	VDD
0	0	0.81384	1.20989	1.41871
1	0	0.81384	1.20989	1.41878
2	0	0.81384	1.20996	1.41909
3	0	0.81384	1.20981	1.41901
4	0	0.813993	1.20996	1.41779
5	0	0.81384	1.20974	1.41047
6	0	0.813611	1.20935	1.38842
7	0	0.813306	1.20844	1.3611
8	0	0.812772	1.20684	1.33379
9	0	0.81178	1.20501	1.30678
10	0	0.810941	1.20233	1.28069
11	0	0.809949	1.19875	1.25536
12	0	0.808881	1.19379	1.23049
13	0	0.807584	1.18631	1.20607
14	0	0.806058	1.17578	1.18204
15	0	0.804456	1.16213	1.15679
0	1	0.801862	1.15793	1.41222
1	1	0.801099	1.1664	1.41871
2	1	0.800717	1.17227	1.41901
3	1	0.800259	1.17678	1.41932
4	1	0.799954	1.18036	1.41787
5	1	0.799573	1.18265	1.4107
6	1	0.799268	1.18379	1.38834
7	1	0.798734	1.18387	1.3611
8	1	0.798047	1.18341	1.33364
9	1	0.797208	1.18227	1.30655
10	1	0.796292	1.18044	1.28069
11	1	0.795224	1.17769	1.25513
12	1	0.793927	1.17395	1.23033
13	1	0.792782	1.16907	1.20615
14	1	0.791485	1.16175	1.18189
15	1	0.790036	1.15137	1.15671
0	2	0.787518	1.14725	1.41299
1	2	0.786603	1.15259	1.41955
2	2	0.785916	1.15656	1.41909
3	2	0.785382	1.15938	1.41894
4	2	0.785153	1.16136	1.41863
5	2	0.784772	1.16266	1.41115
6	2	0.784543	1.16335	1.38842
7	2	0.784085	1.1632	1.36103
8	2	0.783551	1.16266	1.33371
9	2	0.782559	1.16121	1.30686
10	2	0.781643	1.15969	1.28077
11	2	0.780423	1.15717	1.25528
12	2	0.779355	1.15442	1.23049
13	2	0.77821	1.15053	1.20592
14	2	0.776989	1.14534	1.18174
15	2	0.775311	1.13787	1.15656
0	3	0.772869	1.13405	1.41352
1	3	0.771954	1.13695	1.41909
2	3	0.771267	1.13916	1.41932
3	3	0.77081	1.14061	1.41939
4	3	0.770275	1.14199	1.41901
5	3	0.770199	1.1426	1.41093
6	3	0.769818	1.14282	1.38827
7	3	0.769284	1.14229	1.36118
8	3	0.768521	1.14145	1.33379
9	3	0.767758	1.14008	1.30694
10	3	0.766842	1.1384	1.28046
11	3	0.765621	1.13626	1.25513
12	3	0.764553	1.13382	1.23018
13	3	0.76318	1.13069	1.206
14	3	0.762188	1.12665	1.18196
15	3	0.760586	1.12131	1.15679
0	4	0.758297	1.11757	1.41291
1	4	0.757382	1.11933	1.4197
2	4	0.756542	1.12047	1.41985
3	4	0.756085	1.12116	1.41962
4	4	0.755856	1.12192	1.41894
5	4	0.755474	1.12222	1.41108
6	4	0.755322	1.12192	1.38842
7	4	0.754788	1.12123	1.36095
8	4	0.754025	1.12024	1.33364
9	4	0.753262	1.1191	1.30694
10	4	0.752194	1.11734	1.28023
11	4	0.751049	1.11536	1.25513
12	4	0.749981	1.1133	1.23049
13	4	0.74876	1.11048	1.20623
14	4	0.747616	1.10704	1.18158
15	4	0.746243	1.103	1.15648
0	5	0.743725	1.09949	1.41337
1	5	0.742733	1.10025	1.42023
2	5	0.742123	1.10063	1.42031
3	5	0.741741	1.10086	1.4197
4	5	0.74136	1.10132	1.41909
5	5	0.741131	1.10117	1.41131
6	5	0.740826	1.10094	1.38834
7	5	0.740063	1.10018	1.3611
8	5	0.7393	1.09903	1.33356
9	5	0.738384	1.09758	1.30648
10	5	0.737697	1.0959	1.28008
11	5	0.736477	1.09392	1.25513
12	5	0.735485	1.09186	1.23056
13	5	0.734569	1.08934	1.20615
14	5	0.732967	1.08675	1.18196
15	5	0.731594	1.08324	1.15663
0	6	0.729229	1.07996	1.41421
1	6	0.728161	1.08019	1.42016
2	6	0.727398	1.08011	1.42
3	6	0.727092	1.08003	1.42046
4	6	0.726864	1.08019	1.41985
5	6	0.726635	1.08019	1.41123
6	6	0.726253	1.07965	1.38804
7	6	0.725795	1.07874	1.36118
8	6	0.724804	1.07752	1.33356
9	6	0.723888	1.07614	1.30648
10	6	0.722973	1.07424	1.28031
11	6	0.721904	1.07256	1.25528
12	6	0.720684	1.07042	1.23041
13	6	0.719387	1.06844	1.20638
14	6	0.718395	1.06584	1.18227
15	6	0.717021	1.0631	1.15641
0	7	0.714733	1.05951	1.41382
1	7	0.713817	1.05943	1.42084
2	7	0.713283	1.05936	1.42069
3	7	0.712902	1.05943	1.42031
4	7	0.712596	1.05951	1.41962
5	7	0.712215	1.05928	1.41161
6	7	0.711833	1.05875	1.38827
7	7	0.711299	1.05776	1.3611
8	7	0.710384	1.05653	1.33349
9	7	0.709239	1.05501	1.30663
10	7	0.7084	1.05325	1.28038
11	7	0.707332	1.05127	1.25559
12	7	0.706111	1.04944	1.23041
13	7	0.705196	1.04715	1.20638
14	7	0.703899	1.04471	1.18204
15	7	0.702602	1.04219	1.15679
0	8	0.700237	1.03914	1.41428
1	8	0.699703	1.03891	1.42054
2	8	0.699168	1.03891	1.42069
3	8	0.69894	1.03868	1.42092
4	8	0.698558	1.03883	1.42031
5	8	0.698329	1.03861	1.41161
6	8	0.697948	1.03777	1.38827
7	8	0.697108	1.03677	1.3611
8	8	0.696269	1.03548	1.33387
9	8	0.695201	1.03372	1.30694
10	8	0.694133	1.03189	1.28077
11	8	0.692989	1.02983	1.25544
12	8	0.691692	1.028	1.23041
13	8	0.690547	1.02579	1.20623
14	8	0.689403	1.02388	1.18212
15	8	0.687953	1.02129	1.15694
0	9	0.685893	1.01839	1.41436
1	9	0.685359	1.01854	1.42092
2	9	0.685283	1.01846	1.42107
3	9	0.684901	1.01846	1.42107
4	9	0.684901	1.01869	1.42046
5	9	0.684749	1.01854	1.41169
6	9	0.684215	1.0177	1.38842
7	9	0.683299	1.0161	1.36126
8	9	0.682307	1.01457	1.33364
9	9	0.681086	1.01274	1.30655
10	9	0.679561	1.01068	1.28054
11	9	0.678569	1.0087	1.25551
12	9	0.677272	1.00679	1.23072
13	9	0.676051	1.0045	1.20638
14	9	0.674678	1.00237	1.18227
15	9	0.67361	1	1.15694
0	10	0.67155	0.997406	1.41489
1	10	0.671473	0.99794	1.4213
2	10	0.671473	0.998322	1.42168
3	10	0.671473	0.998627	1.421
4	10	0.671397	0.998627	1.42039
5	10	0.671397	0.998627	1.41184
6	10	0.671016	0.998016	1.38872
7	10	0.669947	0.99649	1.36118
8	10	0.66865	0.994583	1.33379
9	10	0.667201	0.992294	1.30663
10	10	0.665751	0.990158	1.28054
11	10	0.664378	0.98764	1.25559
12	10	0.663081	0.985657	1.23041
13	10	0.661631	0.983215	1.20615
14	10	0.660334	0.981155	1.18196
15	10	0.659037	0.978714	1.15671
0	11	0.65713	0.976654	1.4152
1	11	0.657588	0.977798	1.42145
2	11	0.657969	0.978332	1.42123
3	11	0.658122	0.978943	1.42145
4	11	0.658351	0.979324	1.42077
5	11	0.658351	0.9794	1.41207
6	11	0.658045	0.978637	1.38849
7	11	0.656977	0.976883	1.36118
8	11	0.655451	0.974518	1.33379
9	11	0.65362	0.972076	1.30686
10	11	0.652018	0.969787	1.28069
11	11	0.650568	0.967269	1.25574
12	11	0.649119	0.964904	1.23079
13	11	0.647593	0.962539	1.20653
14	11	0.646448	0.960327	1.18235
15	11	0.644999	0.957961	1.15702
0	12	0.642939	0.956054	1.41505
1	12	0.644083	0.95758	1.42176
2	12	0.644617	0.958801	1.42222
3	12	0.644923	0.95964	1.42153
4	12	0.64538	0.960098	1.42077
5	12	0.645304	0.96025	1.41199
6	12	0.644999	0.959487	1.38857
7	12	0.643931	0.957809	1.36126
8	12	0.642176	0.955291	1.33371
9	12	0.640497	0.952544	1.30678
10	12	0.638743	0.949569	1.28054
11	12	0.636606	0.946975	1.25544
12	12	0.635233	0.944228	1.23095
13	12	0.633555	0.941787	1.20615
14	12	0.632181	0.939269	1.18219
15	12	0.630655	0.936904	1.15671
0	13	0.628977	0.935454	1.41558
1	13	0.630274	0.937667	1.42214
2	13	0.631266	0.939269	1.42168
3	13	0.6318	0.940261	1.42184
4	13	0.63241	0.940795	1.4213
5	13	0.632563	0.940948	1.41238
6	13	0.632334	0.94049	1.38849
7	13	0.631113	0.938811	1.36118
8	13	0.62974	0.936294	1.33371
9	13	0.627832	0.933471	1.30716
10	13	0.62562	0.930419	1.28069
11	13	0.623713	0.927367	1.25536
12	13	0.621805	0.924315	1.23064
13	13	0.62005	0.921492	1.2063
14	13	0.618372	0.918975	1.18219
15	13	0.616999	0.916457	1.15717
0	14	0.614862	0.915084	1.41535
1	14	0.616846	0.917754	1.42214
2	14	0.618067	0.919738	1.42229
3	14	0.618906	0.921035	1.42214
4	14	0.619593	0.922026	1.42123
5	14	0.619974	0.922561	1.41222
6	14	0.619821	0.92195	1.38872
7	14	0.618677	0.920272	1.36141
8	14	0.616846	0.917678	1.33371
9	14	0.615244	0.91455	1.30716
10	14	0.612879	0.911193	1.28092
11	14	0.610666	0.907759	1.25589
12	14	0.608606	0.904555	1.23102
13	14	0.60647	0.901427	1.20645
14	14	0.604486	0.898756	1.18219
15	14	0.60296	0.89601	1.15709
0	15	0.601129	0.894713	1.41588
1	15	0.603189	0.897765	1.42245
2	15	0.604791	0.899977	1.42222
3	15	0.605783	0.901427	1.42222
4	15	0.606394	0.902495	1.42153
5	15	0.606851	0.903029	1.41245
6	15	0.606699	0.902571	1.38865
7	15	0.605783	0.900893	1.36156
8	15	0.603952	0.898451	1.33425
9	15	0.601968	0.895171	1.30716
10	15	0.599756	0.891432	1.28046
11	15	0.597467	0.887923	1.25566
12	15	0.59472	0.884184	1.23079
13	15	0.592508	0.880827	1.20645
14	15	0.590524	0.877699	1.18219
15	15	0.58854	0.874418	1.15709
