Channel	AMBG	RampGain	InputVoltage	ADCvalue
CAL	0	0	0	16
CAL	0	1	0	16
CAL	0	2	0	16
CAL	0	3	0	17
CAL	0	4	0	17
CAL	0	5	0	17
CAL	0	6	0	18
CAL	0	7	0	18
CAL	0	8	0	18
CAL	0	9	0	19
CAL	0	10	0	19
CAL	0	11	0	19
CAL	0	12	0	20
CAL	0	13	0	20
CAL	0	14	0	20
CAL	0	15	0	20
CAL	0	0	0.01	24
CAL	0	1	0.01	24
CAL	0	2	0.01	25
CAL	0	3	0.01	25
CAL	0	4	0.01	26
CAL	0	5	0.01	26
CAL	0	6	0.01	26
CAL	0	7	0.01	27
CAL	0	8	0.01	28
CAL	0	9	0.01	28
CAL	0	10	0.01	28
CAL	0	11	0.01	29
CAL	0	12	0.01	29
CAL	0	13	0.01	30
CAL	0	14	0.01	30
CAL	0	15	0.01	31
CAL	0	0	0.02	31
CAL	0	1	0.02	32
CAL	0	2	0.02	33
CAL	0	3	0.02	33
CAL	0	4	0.02	34
CAL	0	5	0.02	35
CAL	0	6	0.02	35
CAL	0	7	0.02	36
CAL	0	8	0.02	37
CAL	0	9	0.02	37
CAL	0	10	0.02	38
CAL	0	11	0.02	38
CAL	0	12	0.02	39
CAL	0	13	0.02	39
CAL	0	14	0.02	40
CAL	0	15	0.02	40
CAL	0	0	0.03	39
CAL	0	1	0.03	40
CAL	0	2	0.03	41
CAL	0	3	0.03	41
CAL	0	4	0.03	43
CAL	0	5	0.03	43
CAL	0	6	0.03	44
CAL	0	7	0.03	44
CAL	0	8	0.03	46
CAL	0	9	0.03	46
CAL	0	10	0.03	47
CAL	0	11	0.03	48
CAL	0	12	0.03	49
CAL	0	13	0.03	49
CAL	0	14	0.03	50
CAL	0	15	0.03	50
CAL	0	0	0.04	47
CAL	0	1	0.04	48
CAL	0	2	0.04	49
CAL	0	3	0.04	50
CAL	0	4	0.04	51
CAL	0	5	0.04	52
CAL	0	6	0.04	53
CAL	0	7	0.04	53
CAL	0	8	0.04	55
CAL	0	9	0.04	56
CAL	0	10	0.04	56
CAL	0	11	0.04	57
CAL	0	12	0.04	58
CAL	0	13	0.04	59
CAL	0	14	0.04	60
CAL	0	15	0.04	60
CAL	0	0	0.05	55
CAL	0	1	0.05	56
CAL	0	2	0.05	57
CAL	0	3	0.05	58
CAL	0	4	0.05	60
CAL	0	5	0.05	60
CAL	0	6	0.05	61
CAL	0	7	0.05	62
CAL	0	8	0.05	64
CAL	0	9	0.05	65
CAL	0	10	0.05	66
CAL	0	11	0.05	67
CAL	0	12	0.05	68
CAL	0	13	0.05	69
CAL	0	14	0.05	70
CAL	0	15	0.05	71
CAL	0	0	0.06	63
CAL	0	1	0.06	64
CAL	0	2	0.06	65
CAL	0	3	0.06	66
CAL	0	4	0.06	68
CAL	0	5	0.06	69
CAL	0	6	0.06	70
CAL	0	7	0.06	71
CAL	0	8	0.06	73
CAL	0	9	0.06	74
CAL	0	10	0.06	75
CAL	0	11	0.06	76
CAL	0	12	0.06	78
CAL	0	13	0.06	79
CAL	0	14	0.06	80
