Channel	AMBG	RampGain	InputVoltage	ADCvalue
Hrefy	0	0	0	15
Hrefy	0	1	0	17
Hrefy	0	2	0	18
Hrefy	0	3	0	19
Hrefy	0	4	0	19
Hrefy	0	5	0	20
Hrefy	0	6	0	20
Hrefy	0	7	0	20
Hrefy	0	8	0	21
Hrefy	0	9	0	21
Hrefy	0	10	0	22
Hrefy	0	11	0	22
Hrefy	0	12	0	22
Hrefy	0	13	0	22
Hrefy	0	14	0	23
Hrefy	0	15	0	23
Hrefy	0	0	0.01	26
Hrefy	0	1	0.01	26
Hrefy	0	2	0.01	27
Hrefy	0	3	0.01	27
Hrefy	0	4	0.01	28
Hrefy	0	5	0.01	28
Hrefy	0	6	0.01	29
Hrefy	0	7	0.01	29
Hrefy	0	8	0.01	30
Hrefy	0	9	0.01	30
Hrefy	0	10	0.01	31
Hrefy	0	11	0.01	31
Hrefy	0	12	0.01	32
Hrefy	0	13	0.01	32
Hrefy	0	14	0.01	33
Hrefy	0	15	0.01	33
Hrefy	0	0	0.02	34
Hrefy	0	1	0.02	34
Hrefy	0	2	0.02	35
Hrefy	0	3	0.02	35
Hrefy	0	4	0.02	36
Hrefy	0	5	0.02	37
Hrefy	0	6	0.02	37
Hrefy	0	7	0.02	38
Hrefy	0	8	0.02	39
Hrefy	0	9	0.02	40
Hrefy	0	10	0.02	40
Hrefy	0	11	0.02	41
Hrefy	0	12	0.02	42
Hrefy	0	13	0.02	42
Hrefy	0	14	0.02	43
Hrefy	0	15	0.02	43
Hrefy	0	0	0.03	41
Hrefy	0	1	0.03	42
Hrefy	0	2	0.03	43
Hrefy	0	3	0.03	44
Hrefy	0	4	0.03	45
Hrefy	0	5	0.03	45
Hrefy	0	6	0.03	46
Hrefy	0	7	0.03	47
Hrefy	0	8	0.03	48
Hrefy	0	9	0.03	49
Hrefy	0	10	0.03	49
Hrefy	0	11	0.03	50
Hrefy	0	12	0.03	51
Hrefy	0	13	0.03	52
Hrefy	0	14	0.03	52
Hrefy	0	15	0.03	53
Hrefy	0	0	0.04	49
Hrefy	0	1	0.04	50
Hrefy	0	2	0.04	51
Hrefy	0	3	0.04	52
Hrefy	0	4	0.04	53
Hrefy	0	5	0.04	54
Hrefy	0	6	0.04	55
Hrefy	0	7	0.04	56
Hrefy	0	8	0.04	57
